DealerNumber,LegancyDealerNumber,DealerFullName,DealerShortName,DiscountCode,PricingTypeCode,ProductFrom,TypeofServiceFrom,ReplacementProductType,SecondReplacementMethod,ReplacementPaymentMethodCode,InterestChargedCode,DateOfRecordEntry,DateOfLastMaintained,LastChangedEmployeeNumber,RecordActivityStatusFlag,CancellationProcessiongCode,AuditCreateDate,AuditType
40239,40239 B,THE OFFICE MART,THE OF,,2,2,2,3,0,1,,930304,941219,0,I,2,10:44.0,I
40239,40239 C,THE OFFICE MART,THE OF,,2,2,2,3,0,1,,930304,941219,0,I,2,10:44.0,I
42070,42070 A,SOUNDWAVES,SOUNDW,,1,2,3,0,0,1,,930304,990610,0,I,2,10:44.0,I
17,420181A,AUTO F/X-420181A,AUTO F,,1,2,3,3,0,1,,930305,941219,0,I,2,10:44.0,I
42063,42063 A,SMALLWOODS,SMALLW,,1,2,3,2,0,1,,930305,941219,0,I,2,10:44.0,I
4203,420S83A,ASTRO ELECTRONICS-420S83A,ASTRO,,1,2,3,0,0,1,,930305,941219,0,I,2,10:44.0,I
50492,NULL,COAST TO COAST          46078,50492,,1,2,2,0,0,1,,930308,960306,0,I,2,10:44.0,I
20088,20088 A,"W.B. HUNT CO., INC.",WB,,1,2,3,3,0,2,,930309,1041119,0,I,1,10:44.0,I
20088,20088 F,"W.B. HUNT CO., INC.",WB,,1,2,3,3,0,2,,930309,1041119,0,I,1,10:44.0,I
6295,6295  A,BALL FURNITURE & APPLIANCE,BALL F,,1,2,3,0,0,1,,930312,990610,0,I,2,10:44.0,I
6295,6295  B,BALL FURNITURE & APPLIANCE,BALL F,,1,2,3,0,0,1,,930312,990610,0,I,2,10:44.0,I
6295,6295  C,BALL FURNITURE & APPLIANCE,BALL F,,1,2,3,0,0,1,,930312,990610,0,I,2,10:44.0,I
6295,6295  D,BALL FURNITURE & APPLIANCE,BALL F,,1,2,3,0,0,1,,930312,990610,0,I,2,10:44.0,I
6295,6295  E,BALL FURNITURE & APPLIANCE,BALL F,,1,2,3,0,0,1,,930312,990610,0,I,2,10:44.0,I
51012,51012 A,HILO AUDIO INC,HILO,,1,2,3,0,0,1,,930312,941219,0,I,2,10:44.0,I
53090,53090 A,US COAST GUARD EXCHANGE,US COA,,1,2,2,1,0,1,,930312,941219,0,I,2,10:44.0,I
6282,6282  A,EUROPEAN'S FURNITURE,EUROPE,,1,2,3,0,0,1,,930312,950614,0,I,2,10:44.0,I
53064,53064 A,US COAST GUARD EXCHANGE,US COA,,1,2,2,1,0,1,,930315,941219,0,I,1,10:44.0,I
53070,53070 A,US COAST GUARD EXCHANGE,US COA,,1,2,2,1,0,1,,930315,941219,0,I,1,10:44.0,I
53079,53079 A,US COAST GUARD EXCHANGE,US COA,,1,2,2,1,0,1,,930315,941219,0,I,1,10:44.0,I
6291,6291  A,DIAMOND FURNITURE,DIAMON,,1,2,3,0,0,2,,930315,951219,0,I,2,10:44.0,I
6229,6229  A,NU-WAY FURNITURE,NU-WAY,,2,2,2,0,0,2,,930315,950614,0,I,2,10:44.0,I
31068,310686A,CONWAY STATIONERY,CONWAY,,2,2,2,0,0,1,,930315,941219,0,I,2,10:44.0,I
53104,53104 A,G W RYAN DISTRIBUTING CO,GWRYAN,,2,2,2,3,0,1,,930318,941219,0,I,2,10:44.0,I
62105,62105 A,SOFAS & CHAIRS,SOFAS,,1,2,2,0,0,2,,930318,950614,0,I,2,10:44.0,I
